maluma.lu,malumalu,"shelter or protection of any kind, often humble; shady. ",lu
malu.lu,malulu,pool that never dries up. ,lu
mal.au,malau,"canoe bait carrier, some two or three fathoms long, with holes pierced in the sides and bottom to admit water, as used for bonito fishing. ",au
mama.ke,mamake,"to die, of several; to wilt, wither, of plants. ",ke
malima.li,malimali, ,li
mamai.ki,mamaiki, ,ki
malan.ai,malanai,"name of a gentle breeze associated with Kōloa, Kauaʻi, Hāna, Maui (For. 5:97), and Kailua, Oʻahu. ",ai
mamalihi.ni,mamalihini,"not well acquainted, somewhat unaccustomed to or unfamiliar with. ",ni
mali.na,malina,"calming, soothing. ",na
mamama.la,mamamala,"small, little, especially of work. ",la
manaku.ke,manakuke,mongoose. ,ke
mane.na,manena,"a small native tree (several varieties of Pelea hawaiensis), with oblong leaves and four-parted fruit capsules; related to the mokihana. ",na
manap.ua,manapua,manapua (KAN) ,ua
manama.na,manamana, ,na
manawah.ua,manawahua,"discomfort of the stomach, or indigestion, with gas and often diarrhea, thought to be caused by wrong diet or by excessive handling of animals, such as kittens or puppies, which might also become sick; to suffer thus; great grief, as over the loss of a loved one; to grieve. lit., swollen stomach. ",ua
mana.na,manana,"   • to stretch out, as arms, fingers, feet; 
   • to spread out, as the tentacles of an octopus; 
   • to protrude, as ears; 
   • to distend, as nostrils while breathing hard; 
   • swelling, as with disease (Ii 164).   ",na
mam.ao,mamao,"third or highest platform of the lana-nuʻu mamao (oracle tower), where the high priest conducted services. ",ao
manawako.lu,manawakolu,eternal. ,lu
mana.moi,manamoi,"medium-sized moi, a fish. ",moi
manal.ua,manalua, ,ua
manawahi.ne,manawahine,"name of a star, said to appear in the first night of the month Nana and to vanish after the night of Muku. lit., female power. ",ne
mama.mo,mamamo, ,mo
mami.na,mamina, ,na
mamo.na,mamona,Mammon. ,na
manan.ai,mananai,a pleasant breeze. ,ai
manaw.ai,manawai,"warped, depressed, bent in. ",ai
manawa.moe,manawa moe,"bedtime, time to sleep. ",moe
mao.ki,maoki, ,ki
maol.ua,maolua,a kind of red tapa. ,ua
manono.ni,manononi,"young of the kawakawa, a fish. ",ni
mane.ne,manene,"   • shuddery sensation of fear, as on looking over a precipice or if confronted by sudden danger; to shudder, quake.
   • sensation of disgust, revulsion, or repugnance; 
   • sensation of inner quaking accompanying sexual desire; ",ne
maom.ao,maomao,"type of fish (KL. line 158), perhaps same as mamo, mamamo, mao. ",ao
manuma.nu,manumanu,"   • rough, 
   • irregular, 
   • nicked; 
   • dull, blunt, not sharp, as a knife; 
   • bruised; 
   • scarred, as by smallpox.    ",nu
manini.ni,maninini,"stage of manini, a fish, said to be larger than ʻōhua and smaller than manini. ",ni
maniaw.ai,maniawai,"drowsy, sleepy, especially after bathing. ",ai
manuheki.li,manuhekili,thundercloud. ,li
manunu.nu,manununu, ,nu
mawae.na,mawaena, ,na
mauaka.la,mauakala, ,la
maulio.la,mauliola,"place name at Kīlauea Volcano, Hawaiʻi. ",la
mauha.la,mauhala,"grudge, resentment, spite; unforgiving, to nurse revenge. ",la
maum.au,maumau, ,au
maul.ua,maulua,"difficult, hard. ",ua
mauliauhon.ua,mauliauhonua,"descendant of old chiefs of a land; established, ancient, as a family. ",ua
mauma.ua,maumaua,"to do it continuously, repeat; repetitious; repeating. ",ua
mehe.lu,mehelu, ,lu
meha.ni,mehani,"hot, heat, but less hot than ʻenaʻena; unapproachable, as of a high taboo chief. ",ni
maumau.ae,maumauae,doubtful. ,ae
mauli.na,maulina,failure; failing; to fail. ,na
mau.na,mauna,"mountain, mountainous region; mountainous. ",na
meha.na,mehana, ,na
mauhi.li,mauhili,"entangled, snarled, interwoven. ",li
mau.ki,mauki, ,ki
mauko.li,maukoli,"to ration food or water, as in time of drought. ",li
mene.ke,meneke, ,ke
meki.la,mekila,handsome. ,la
melokia.na,melokiana,melodeon. ,na
melikia.na,melikiana,meridian. ,na
melame.la,melamela,"lazy, indolent. ",la
melani.kia,melanikia,Melanesia; Melanesian. ,kia
meki.na,mekina,Messina. ,na
melene.kia,melenekia,Melanesia; Melanesian. ,kia
melo.kia,melokia,melody. ,kia
melume.lu,melumelu, ,lu
melehu.ne,melehune,Kauaʻi. ,ne
meneme.ne,menemene,"   • to shrink from handling; 
   • hesitation. 
   • fig., to feel sorry, compassionate, compassion;
   • pathetic; 
   • to fear for a loved one    ",ne
menehu.ne,menehune,"legendary race of small people who worked at night, building fish ponds, roads, temples; if the work was not finished in one night, it remained unfinished; also Melehune. see ʻeʻepa. (Luomala-1951) convincingly refutes the theory that Hawaiʻi was settled by Menehune before the arrival of the first Hawaiians. ",ne
melepo.na,melepona,Melbourne. ,na
melela.na,melelana,Maryland. ,na
mekop.io,mekopio,Galbanum. ,io
melekia.na,melekiana,meridian. ,na
mikimi.ki,mikimiki,"redup. of miki₁, quick, active, nimble, prompt, alert...; energetic. ",ki
mikika.na,mikikana,Michigan. ,na
mikili.ma,mikilima, ,ma
mikila.na,mikilana,"the Chinese rice flower (Aglaia odorata), a shrub or small tree in the mahogany family, from south China and Indo-China, grown ornamentally for the handsome leaves and fragrant flowers, which are tiny, round, and yellow; clusters of them are used for leis. ",na
mila.na,milana,Milan. ,na
miki.na,mikina,same as miki ʻana. ,na
milika.na,milikana, ,na
mikio.na,mikiona,mission. ,na
mikami.na,mikamina,misdemeanor. ,na
mikihili.na,mikihilina,"most beautiful, of dress, finery, ornaments. ",na
milila.ni,mililani,"to praise, exalt; to give thanks; to treat as a favorite. ",ni
mikione.li,mikioneli,missionary. ,li
mikiona.li,mikionali,missionary. ,li
mikou.li,mikouli,Missouri. ,li
Domain,Word,Definition,TLD
mikiona.li,mikionali,missionary. ,li
mikione.li,mikioneli,missionary. ,li
mikou.li,mikouli,Missouri. ,li
miki.na,mikina,same as miki ʻana. ,na
mila.na,milana,Milan. ,na
mikami.na,mikamina,misdemeanor. ,na
milika.na,milikana, ,na
mikihili.na,mikihilina,"most beautiful, of dress, finery, ornaments. ",na
mikika.na,mikikana,Michigan. ,na
mikio.na,mikiona,mission. ,na
milila.ni,mililani,"to praise, exalt; to give thanks; to treat as a favorite. ",ni
mikili.ma,mikilima, ,ma
mikila.na,mikilana,"the Chinese rice flower (Aglaia odorata), a shrub or small tree in the mahogany family, from south China and Indo-China, grown ornamentally for the handsome leaves and fragrant flowers, which are tiny, round, and yellow; clusters of them are used for leis. ",na
milimi.li,milimili,"   • redup. of mili₁, to handle, feel of, fondle, caress...; 
   • toy, plaything; 
   • favorite, darling, pet, beloved.    ",li
milio.na,miliona,million. ,na
minela.la,minelala,mineral. ,la
mimi.ki,mimiki,to work with a will. ,ki
min.ao,minao,minnow. ,ao
milumi.lu,milumilu,"gloomy, shady, solemn. ",lu
mimomi.mo,mimomimo, ,mo
miula.na,miulana,"orange and white champak (Michelia champaca and M. longifolia), tall trees with smooth gray trunks, from the Himalayas, related to the magnolia, bearing many-parted, orange or yellow flowers (M. champaca) or white flowers (M. longifolia), which are especially fragrant at night. (Neal 357) The orange and white species may be distinguished by qualifying miulana with the colors melemele and keʻokeʻo. The Chinese name for the white species is pak-lan, but cf. pakalana . ",na
moa.na,moana,"campground, consultation place for chiefs. ",na
minami.na,minamina,"to prize greatly, value greatly, especially of something in danger of being lost; to value, place great value on; value, worth. ",na
mio.na,miona,swift disappearance or movement. ,na
mimim.io,mimimio, ,io
mineapo.li,mineapoli,Minneapolis. ,li
mohaha.la,mohahala, ,la
mokokaika.la,mokokaikala,motorcycle. ,la
moho.la,mohola, ,la
mokek.ao,mokekao,Moscow. ,ao
moelo.la,moelola,"striped tapa; an outer sheet (kilohana) for bed covers, as made by laying a red cloth or tapa over a white tapa in long panels with intervening white spaces, and then beating it into the tapa; striped. ",la
moanonuikaleh.ua,moanonuikalehua,"a goddess who came with Pele from Kahiki and lived in Kaʻieʻie Channel between Kauaʻi and Oahu. She had two forms: one of a woman as beautiful as, a lehua tree laden with blossoms, the other of a red moano fish. When Māui tried to draw the islands together, Moano and others snagged his hook into a rock (Pōhakuokauaʻi) which was then pulled to Kaʻena Point. Māui caught Moano's fish body and laid it on a shrine. Her spirit returned to Kahiki, but it returned later to Kauaʻi, Oahu, and finally to ʻŌlaʻa, Hawaii. lit., great goatfish, the lehua blossom. ",ua
moeleh.ua,moelehua,rain name. ,ua
moe.na,moena,"couch, bed. ",na
moeko.lu,moekolu,"striped, of three colors of about the same width and lying parallel. ",lu
moel.ua,moelua,"striped, of two colors of about same width and lying parallel, as of tapa. ",ua
moekuh.ua,moekuhua,viscous matter in the eyes. ,ua
moe.like,moe like,to sleep in a similar way; parallel. ,like
moania.ni,moaniani, ,ni
mokumokumanah.ua,mokumokumanahua, ,ua
mok.ae,mokae,"a plant resembling kiliʻoʻopu, a sedge. ",ae
mokiha.na,mokihana,"a native tree (Pelea anisata), found only on Kauaʻi, belonging to the citrus family. The small, leathery, cube-shaped, anise-scented fruits, which change from green to brown, are strung in leis; they represent Kauaʻi in the leis of the islands, as designated in 1923 by the Territorial legislature. The large leaves are also fragrant. ",na
moanaa.na,moanaana, ,na
mohih.io,mohihio, ,io
moa.ni,moani,"   • light or gentle breeze, usually associated with fragrance; 
   • wafted fragrance; 
   • to blow perfume.    
(see chant, kokoe; (Mele 1.12) ) ",ni
moau.li,moauli,"short for moana uli, dark blue sea. ",li
molemo.na,molemona,Mormon. ,na
moleh.ao,molehao,"lit., iron bottom. ",ao
moloka.la,molokala, ,la
moku.na,mokuna,"   • division, boundary, border, as of land; 
   • severed portion, cut piece, part, severance; 
   • chapter, section, as of a book; 
   • platoon, as of soldiers (a mokuna may be divided into mahele, sections, and into paukū, squads).    ",na
mone.ke,moneke,Monday. ,ke
mola.ki,molaki,mortgage. ,ki
moleanahon.ua,moleanahonua,"geometry. lit., base for measuring land. ",ua
momo.ua,momoua,far. ,ua
molola.ni,mololani,"well-kept, well-nursed. ",ni
momo.na,momona,sweet. ,na
monekeke.li,monekekeli,monastery. ,li
momomo.ni,momomoni, ,ni
moloh.ai,molohai,"drowsy, sleepy. ",ai
molu.na,moluna,"thief, robber; to rob, plunder, take by force. ",na
mukue.la,mukuela,weasel. (Bib.) ,la
muio.na,muiona,"an annelid worm, resembling a centipede. ",na
naau.au,naauau,remission of a taboo. ,au
muak.ua,muakua,"unfriendly, unsocial. ",ua
mumu.lu,mumulu,"to swarm, as flies, bees, mosquitoes. ",lu
muliw.ai,muliwai,"river, river mouth; pool near mouth of a stream, as behind a sand bar, enlarged by ocean water left there by high tide; estuary. ",ai
muam.ua,muamua,"front, forward. ",ua
monoku.ne,monokune,monsoon. ,ne
mulele.hu,mulelehu, ,hu
naen.ae,naenae, ,ae
muni.ni,munini, ,ni
nake.ke,nakeke,"   • rattling, as of a window; 
   • rustling, as of paper.   ",ke
nakeke.ke,nakekeke, ,ke
nakawi.la,nakawila,Nashville. ,la
naiko.la,naikola, ,la
nah.ua,nahua, ,ua
naku.lu,nakulu,"   • dripping, as water; 
   • patter, clatter, rattle, echo; 
   • rumbling, as the stomach; 
   • grumbling; 
   • vibrating, as thunder;
   • to spread or circulate, as rumor.   ",lu
naka.pa,nakapa,stacte [sweet spice used in ancient Hebrew incense]. ,pa
nakule.hu,nakulehu,a variety of white sweet potato. ,hu
nahunahui.hu,nahunahuihu,"family discord, quarrel. lit., nose biting. ",hu
nahuna.hu,nahunahu,to suffer pangs of childbirth. ,hu
nahanah.ae,nahanahae, ,ae
nahu.na,nahuna,bite. ,na
naepu.ni,naepuni, ,ni
nalina.li,nalinali, ,li
naki.li,nakili,"to glimmer through, as light through a small opening; to begin to open, as eyes of a young animal; to twinkle. ",li
naka.like,nakalike,Nazarite. (Bib.) ,like
nan.ao,nanao, ,ao
nana.ki,nanaki, ,ki
nanah.ua,nanahua,"ill-feeling, bitterness. ",ua
naluna.lu,nalunalu,"rough, of a sea with high waves; to form high waves. ",lu
namuna.mu,namunamu,"to grumble, complain, mumble, babble. ",mu
nanana.pa,nananapa, ,pa
nanana.na,nananana,"spider (Araneida); today this is the house spider, formerly the outdoors spider. ",na
nanahu.ki,nanahuki,"to pull away from; contrary, disdainful (perhaps from nanā, surly, and huki, pull). ",ki
nana.na,nanana,"to flutter, as wings. ",na
naluk.ai,nalukai,"weatherworn, as old canoes or persons who have weathered the storms of life. lit., ocean wave. ",ai
nanan.ai,nananai, ,ai
naouananahu.ki,naouananahuki,name of a tapa design. ,ki
nanap.au,nanapau,a tree. ,au
nape.la,napela,Naples. ,la
naneki.na,nanekina,Nanking. ,na
naon.ao,naonao,"ants, Formicidae. ",ao
naomakal.ua,naomakalua,"fish-basket trap made of ʻinalua vines, used for small fish. lit., double-meshed groove. ",ua
nauew.ai,nauewai,a variety of sweet potato. ,ai
napana.pa,napanapa,"to writhe and twist, as an eel. ",pa
nanena.ne,nanenane, ,ne
nanina.ni,naninani, ,ni
niaka.la,niakala,Niagara. ,la
naun.au,naunau,"redup. of nau, 
   • to chew, munch, masticate, 
   • gnash the teeth; 
   • grinder...; 
   • to munch one's words and speak indistinctly, mumble.    ",au
nene.ke,neneke,"shuffling, scratching, thumping sound; to sound thus ",ke
nenele.au,neneleau, ,au
nele.au,neleau,"the native Hawaiian sumach (Rhus sandwincensis, synonyms R. semilata var. sandwicensis and R. chinesis var. sandwicensis) a shrub or small tree, with light, soft, tough wood. ",au
nelune.lu,nelunelu, ,lu
nene.lu,nenelu,"   • flabby fat; soft plumpness.
   • soft, as fine, worked-up soil;
   • boggy, marshy, springy, swampy; mire, bog, marsh;    ",lu
nenew.ai,nenewai,a variety of sweet potato. ,ai
nene.ne,nenene,"fluttering the wings; contracting the muscles, flexing the muscles, as preparing for exercise. ",ne
nehune.hu,nehunehu, ,hu
nemane.ma,nemanema,to belittle. ,ma
nemone.mo,nemonemo,sleek. ,mo
nenane.na,nenanena, ,na
nikela.ke,nikelake,nitrate. ,ke
nio.ke,nioke,"ebbing, receding, of the tide. ",ke
ninanin.au,ninaninau,to examine. ,au
niani.au,nianiau, ,au
ninih.ua,ninihua,resentment; resentful. ,ua
nikalak.ua,nikalakua,Nicaragua. ,ua
nilek.ai,nilekai,"nilgai, antelope. ",ai
nien.ie,nienie,"sheer and smooth, as a cliff. ",ie
nihowilihe.mo,nihowilihemo,"design on Niʻihau mats consisting of a series of pointed notches, called kulipuʻu elsewhere. lit., twisting loose tooth. ",mo
nihi.na,nihina, ,na
ninani.na,ninanina, ,na
nini.ki,niniki, ,ki
nikini.ki,nikiniki, ,ki
nihipa.li,nihipali,a kind of fish (no data). ,li
nolewe.ke,noleweke,Norwegian. ,ke
nokeku.la,nokekula,"water hen (RSV), swan (KJV). ",la
nokeno.ke,nokenoke, ,ke
noh.ae,nohae, ,ae
niolop.ua,niolopua,handsome. ,ua
niua.ua,niuaua,"somewhat dizzy; sad, unlucky. ",ua
noluno.lu,nolunolu, ,lu
nohuno.hu,nohunohu, ,hu
noke.ma,nokema,juniper roots. ,ma
nokiniha.ma,nokinihama,Nottingham. ,ma
nonano.na,nonanona,ant (same as more common naonao). ,na
nohoa.nu,nohoanu,"native geraniums (Geranium spp.), shrubs and small trees found only at high altitudes in Hawaiʻi. They have small, ovate, green or silvery leaves, edged or tipped with teeth, and reddish or white flowers. lit., cold dwelling. ",nu
nolew.ai,nolewai,Norway; Norwegian. ,ai
nohi.li,nohili,"tedious, slow. ",li
nukuk.au,nukukau,thick-lipped. ,au
nonol.au,nonolau, ,au
nowe.ke,noweke,northwest. ,ke
nonono.ke,nononoke, ,ke
nonohi.na,nonohina,"blossoms of the olopua, a tree. ",na
nou.lu,noulu, ,lu
nono.no,nonono, ,no
nonino.ni,noninoni, ,ni
nonopa.pa,nonopapa,"invalid, sick. ",pa
nopano.pa,nopanopa, ,pa
nonoh.ua,nonohua,diarrhea; to have symptoms of diarrhea; disgust; to be vile. ,ua
ohaik.au,ohaikau,name given to a kind of sled obtained from Captain Cook; it is said to have had supernatural qualities. ,au
nume.la,numela,numeral. ,la
nunanu.na,nunanuna, ,na
oloh.ao,olohao,"cannon. lit., iron noise. ",ao
nulunu.lu,nulunulu, ,lu
nupanu.pa,nupanupa,also lupalupa. ,pa
oloha.na,olohana, ,na
nupaiki.ni,nupaikini,new-fashioned. ,ni
olinak.io,olinakio,ordination. ,io
oloh.io,olohio,"to move quickly, as a gust of wind. ",io
Domain,Word,Definition,TLD
oloh.io,olohio,"to move quickly, as a gust of wind. ",io
olinak.io,olinakio,ordination. ,io
nunu.ki,nunuki,"to rise and fall, as the sea. ",ki
nulunu.lu,nulunulu, ,lu
nume.la,numela,numeral. ,la
oloha.na,olohana, ,na
oloh.ao,olohao,"cannon. lit., iron noise. ",ao
ohaik.au,ohaikau,name given to a kind of sled obtained from Captain Cook; it is said to have had supernatural qualities. ,au
nunanu.na,nunanuna, ,na
olomeha.ni,olomehani,"dumping ground, refuse or rubbish dump. ",ni
nupaiki.ni,nupaikini,new-fashioned. ,ni
nupanu.pa,nupanupa,also lupalupa. ,pa
olola.ni,ololani,"acclaimed, as a chief. ",ni
oluwa.lu,oluwalu,name reported for a minor illness (no data). ,lu
paheleha.la,pahelehala,"wind off Waiʻanae, Oʻahu (PH 161), and associated with Naue, Kauaʻi (For. 5:97). lit., pandanus ensnarement. ",la
paeh.eu,paeheu,large bundle. ,eu
paeloahi.ki,paeloahiki,"name of a star or for the Milky Way. lit., eastern long row. ",ki
one.na,onena,sandy; pale. ,na
onao.na,onaona,"   • softly fragrant; soft fragrance or perfume, aroma; 
   • gentle and sweet, as the eyes or disposition; 
   • inviting, attractive, alluring, lovely.   ",na
pae.na,paena,"landing place, as of canoes (paena waʻa) or of waves (paena nalu); landing. ",na
olop.ua,olopua,"a large native tree (Osmanthus sandwicensis), to 19 m high, in the olive family. It bears narrow or oblong leaves, yellowish flowers, and blue 1.3 cm- long fruits. The hard wood, dark-brown with black streaks, was used for spears, adze handles, and digging sticks. cf. nonohina. ",ua
oneoneihon.ua,oneoneihonua,name of a death-bringing prayer or for a heiau dedication. ,ua
onio.ni,onioni, ,ni
olowa.lu,olowalu,"   • joint action; 
   • simultaneous sounds; 
   • din of many voices, sounds, as of horns or roosters; 
   • to rush or attack in concert; 
   • a group, as of hills (olowalu puʻu).   ",lu
paha.ma,pahama,Bahama. ,ma
oneha.li,onehali,"name of a Kauaʻi wind. lit., sand carrying. ",li
paehu.mu,paehumu,taboo enclosure about a chief's house or about a heiau. ,mu
paep.ae,paepae,"   • a support, prop; to support, hold up, sustain; 
   • stool, 
   • pavement, 
   • house platform; plate of a house on which the rafters rest; 
   • block to keep an outrigger float off the ground; 
   • log or wooden horse that supports a seesaw; 
   • rows.    ",ae
omoo.mo,omoomo, ,mo
omo.ki,omoki, ,ki
paiku.mu,paikumu,to have connections with important or influential persons. ,mu
pahuka.la,pahukala,sham battle with sharp weapons. ,la
paiku.li,paikuli,those in charge of a chief's property. ,li
pahika.ua,pahikaua,"same as kala liʻiliʻi, a fish (see kala₃). ",ua
pahil.au,pahilau,"untrue, false; untruth (contraction of pāhili, variable, and lau, much). ",au
pah.ua,pahua, ,ua
paik.au,paikau,"   • to march, 
   • drill, 
   • parade, 
   • pass to and fro; 
   • to practice firearms.    ",au
pahu.lu,pahulu,"   • nightmare (named for a chief of evil spirits on Lānaʻi who was killed by Kaululāʻau [Ka-ulu-lāʻau]; his spirit enchanted certain fish, especially goatfish, weke; if a weke head is eaten near bedtime, nightmares are said to result; the closer to Lānaʻi the weke is caught, the worse the nightmare); 
   • ghost; 
   • haunted; 
   • unlucky. ",lu
pail.ua,pailua,"nausea; nauseating, abominable. ",ua
paila.ni,pailani,"   • similar to mailani, to extol, praise, treat as a chief or great favorite, indulge, spoil, favor... but often pejorative; 
   • to spoil.   ",ni
pahupa.hu,pahupahu, ,hu
pahu.hu,pahuhu,young of the fish uhu. ,hu
paika.no,paikano,to make a great pet of; to treat with great favor. ,no
pahu.na,pahuna,"a pushing, thrust, hurling, piercing, etc., as of an ihe spear. ",na
pahukai.na,pahukaina,ashes. ,na
pahi.nu,pahinu, ,nu
pahulu.lu,pahululu,"somewhat rainy, showery. ",lu
paiki.ni,paikini,"fashion, style. ",ni
pahe.mo,pahemo,"loosened, slipping off; to loosen, get loose; weakening, as a voice. ",mo
pai.ki,paiki,"bag, suitcase, satchel, pocketbook, purse. ",ki
pahuluho.pe,pahuluhope,"demented, to behave as if crazy. ",pe
pakawe.li,pakaweli,"a variety of sugar cane, with different names on different islands. A deep purple-red and green striped cane resembling ʻakilolo but the leaves somewhat variegated; also producing mutants of solid yellow and red, like nānahu, pilimai. ",li
paipa.la,paipala,Bible; Biblical. ,la
palahaika.la,palahaikala,old name of an illness (no data). ,la
pakala.na,pakalana,"the Chinese violet (Telosma cordata), which has yellowish-green flowers. [(Neal 700-701): A vine with slender, cylindrical, downy branches, native to India and China, grown for the delightfully fragrant flowers, which in Hawaii are popular for leis. ... The narrow, cylindrical, podlike fruits sometimes develop in Hawaii. A Hawaiian name, pakalana, is sometimes applied to this vine, a name rightfully belonging to Michelia alba (cf miulana)] ",na
pakelo.na,pakelona,"patron, patron saint. ",na
palahu.ki,palahuki,"rotten, as a banana stump; overripe, as banana fruit with juice dripping and black skin, as used in medicine. ",ki
pakali.ao,pakaliao,codfish. ,ao
palahu.li,palahuli,"   • to turn over, 
   • fall over; 
   • to fall down while walking or running (NKE12). ",li
pakal.ua,pakalua,"wrinkled, coarse, as skin or bark; encrusted, as with grime or rust. ",ua
pakiniha.ma,pakinihama,Buckingham. ,ma
palahe.mo,palahemo, ,mo
pake.mo,pakemo,"same as pakelo, 
   • to slip out, as an animal from a trap or a fish from the hand; 
   • slippery, slick, slipping, sliding; 
   • to thrust, as a spear.   ",mo
pako.ke,pakoke, ,ke
pakalio.na,pakaliona,battalion. ,na
pai.na,paina,"na form of pai₂; to lift; lifting, swelling or breaking, as waves. ",na
palahoa.na,palahoana, ,na
pakoha.na,pakohana,bare. ,na
paini.ki,painiki,to dress in tight-fitting garments; buttoned up tightly. ,ki
pakapak.ai,pakapakai,young pakai seedlings. ,ai
palaki.la,palakila,"Brazil, Brazilian. ",la
palai.ki,palaiki,sound of a stone falling into water; to fall with a sound; plump. ,ki
palau.ki,palauki,blouse. ,ki
palakahu.ki,palakahuki,"overcooked to the point of falling apart, as meat (less common than moʻa palahē). ",ki
palai.na,palaina,"turning away in embarrassment, confusion, or humility, concealment of true feelings. ",na
palami.la,palamila,Palmyra. ,la
palamo.la,palamola,Palmyra. ,la
palapalau.lu,palapalaulu,colorful. ,lu
palapala.ni,palapalani, ,ni
palak.ua,palakua, ,ua
palapalahon.ua,palapalahonua,"map (less used than palapalaʻāina). lit., land document. ",ua
pala.ma,palama,plum. ,ma
palaka.ma,palakama,balsam. ,ma
palalo.li,palaloli, ,li
pala.ni,palani,"a surgeonfish (Acanthurus dussumieri), famous for a strong odor. ",ni
palami.mo,palamimo,"   • to pilfer quickly, as of a skilled pickpocket; 
   • to move easily and noiselessly; 
   • to do or act deftly; 
   • neatly; neat.
   • swift,     ",mo
pala.ki,palaki,"black, as skin. ",ki
palail.ai,palailai,"young of the lai, a fish. ",ai
palapal.ai,palapalai, ,ai
palak.ai,palakai,"sickly, withered, stunted, puny, as unhealthy plants or people. ",ai
pale.moe,pale moe,bed sheet. ,moe
paluke.la,palukela,Brussels. ,la
palo.la,palola,parole. ,la
pali.la,palila,"an endangered gray, yellow, and white Hawaiian honey creeper (Psittirostra bailleui, P. kona); endemic to the island of Hawaiʻi. Its bill is especially suited for opening māmane tree pods. Its only home is on Mauna Kea, Hawaiʻi. ",la
palelo.na,palelona,"furlong, in surveying. ",na
paleko.na,palekona,falcon. ,na
pale.na,palena,"   • boundary, border, 
   • limit, 
   • margin, 
   • juncture, 
   • separation, 
   • partitioning; 
   • terms of a fraction.    ",na
palaw.ai,palawai,athlete's foot. ,ai
palekala.pa,palekalapa,paragraph. ,pa
pale.mo,palemo,Palermo. ,mo
paleka.ma,palekama,balsam. ,ma
pali.ma,palima,primer; to study a primer. ,ma
palekeki.ne,palekekine,Palestine. ,ne
palo.ke,paloke,broken. ,ke
palekike.na,palekikena, ,na
paleka.na,palekana,"safe, saved, rescued; convalescent; to ward off, brush aside, rescue, protect; to recover from illness; defense, savior, safety, security. (pale₁ + -kana, nominalizer). ",na
paleko.ki,palekoki,"petticoat, skirt. ",ki
palau.li,palauli,"dark, as the skin, clouds. ",li
palawi.li,palawili,"to twist, turn. ",li
paliu.li,paliuli,"a legendary land of plenty and joy, said to be on Hawaiʻi, where chiefs' children were raised; now a place name on several islands. lit., green cliff. see chant, pulelo and saying, glory. ",li
pali.li,palili,small weak taro shoot (preceded by ke). ,li
paneka.na,panekana, ,na
panio.la,paniola,"late var. of paniolo, cowboy. ",la
pania.na,paniana,banyan (Ficus spp.) ,na
palu.la,palula,cooked sweet-potato leaves. ,la
pani.na,panina,"   • end, closing, closure, very last, conclusion, finish, cessation, 
   • breaking off or cutting short; 
   • definitive, 
   • classic. ",na
panapan.au,panapanau, ,au
paneko.la,panekola,Bangor. ,la
panek.ai,panekai,"to move in, of the tide. ",ai
panakalu.pa,panakalupa,bankrupt. ,pa
panipa.ni,panipani, ,ni
paminaha.ma,paminahama,Birmingham. ,ma
pane.na,panena,answer. ,na
panopa.no,panopano, ,no
palu.nu,palunu,a creeping plant (no data). ,nu
panono.no,panonono,"full of holes, cracks; cracked. ",no
panekalu.pa,panekalupa,bankrupt. ,pa
panepa.ne,panepane,"to retort, talk back. ",ne
panapa.na,panapana,"to strike gently, as the butt of a coconut midrib used as a pole for catching crab. ",na
panai.ki,panaiki,diagonal. ,ki
pani.ki,paniki,"coloring matter, as for tapa. ",ki
papa.moe,papa moe,"horizontal stratum. fig., sick. ",moe
papale.na,papalena,"fending off, warding off, pushing aside. ",na
papap.au,papapau,"redup. of papau, deeply engaged... finished... united...;  everyone. ",au
paop.ao,paopao, ,ao
papaho.la,papahola,face of a clock or watch. ,la
papaw.ai,papawai,"rain name associated with Olowalu, West Maui. ",ai
paomo.ni,paomoni,"to contend with, make war on, ",ni
papapa.pa,papapapa, ,pa
papake.ma,papakema,baptism. ,ma
pao.na,paona,"pound, balance, scales, weight. ",na
papail.ua,papailua, ,ua
paoko.ke,paokoke,to betray one's relatives or those close (koke) to one. ,ke
papa.ne,papane, ,ne
papa.ni,papani,"interception, shutting off, as from view; to block. ",ni
pap.ao,papao, ,ao
papa.like,papa like,"of the same species, class, rank. ",like
papu.na,papuna,baboon. ,na
pehi.na,pehina,"throwing; pelting, as of rain. ",na
pauwa.la,pauwala,"a star that appears in the night of Muku in the month of Māhoe Mua, and remains visible through the month of Māhoe Hope; it follows the star Ululoa, and was considered the latter's ""servant."" ",la
papeki.ke,papekike,Baptist. ,ke
peka.na,pekana,"pagan, heathen. ",na
pauk.ua,paukua, ,ua
pauleh.ua,paulehua, ,ua
paulinali.na,paulinalina,"to gird the waist tightly, to stretch, make taut. ",na
paumakuala.ni,paumakualani,"a star observed by priests, in the month of Kaulua and visible through the month of Ikiiki. ",ni
paumak.ua,paumakua,a small bright star that appears on the night of Hilo in the month of Welo and stays all the month. ,ua
peh.ua,pehua, ,ua
papeke.ma,papekema,"to baptize, baptismal; baptism. also papakema. ",ma
pehupe.hu,pehupehu, ,hu
peawi.ni,peawini,fair wind. ,ni
pauahila.ni,pauahilani,"name of a star, said to appear early on the night of Muku. ",ni
paul.ua,paulua, ,ua
pau.ma,pauma,pump; to pump. ,ma
pehe.mo,pehemo,behemoth. ,mo
papi.ne,papine,Baffin. ,ne
pela.moe,pela moe,mattress. ,moe
pelape.la,pelapela,"filthy, dirty, nasty, indecent, unclean, vulgar, lewd, obscene. ",la
peke.la,pekela, ,la
pele.au,peleau, ,au
peleia.ke,peleiake,Pleiades. ,ke
peku.la,pekula,"picul, as used for the sale of sandalwood. ",la
