Word,Definition
ʻōkoholua,two-pronged post-European fishing spear. 
ʻOkoikua,stroke in lua fighting. 
okōko,"var. spelling of okooko
   • red hot, blazing hot; 
   • burning, smarting, as an itch. "
ʻokokomo,"filled, as a canoe. "
ʻōkole₂,"a sea creature, eaten cooked, perhaps a sea anemone. "
ʻōkole₃,"a kind of birthmark; round, black, and raised higher than the surface of the skin; believed caused by the mother's eating an annelid when pregnant. "
ʻōkole emiemi,"a sea anemone. lit., shrinking ʻōkole. "
ʻōkolehao₁,"liquor distilled from ti root in a still of the same name; later, a gin as made of rice or pineapple juice. lit., iron bottom. "
ʻōkolehao₂,iron try-pot still. 
ʻōkole hāwele,"lit., tied ʻōkole. "
ʻōkole kaʻaka,"rascal anus, an insult chanted by Kamapuaʻa. "
ʻokolekē,"a play language something like pig Latin. Example: e hesele ana ʻoutou sele ihesele, for e hele ana ʻoukou i hea? Where are you going? [sele is added at random.]. see language. "
ʻōkolemakili,"lit., cracked buttocks. "
ʻōkoleoioi,"to turn one's back on someone who has aroused one's anger; to walk to and fro with back towards the object of anger; to scorn; one who does this. lit., moving buttocks. "
ʻōkoleʻoiʻoi,"marigolds (Tagetes spp.).  lit., jutting buttocks. "
ʻōkolepuʻu,"bustle-style dress. lit., humped buttocks. "
ʻōkolo, 
ʻōkomo,"   • to insert, 
   • include; 
   • to caulk, as a ship; 
   • to inlay.    "
ʻōkomokomo, 
ʻokomopila,automobile. 
okooko,"   • red hot, blazing hot; 
   • burning, smarting, as an itch.   "
ʻōkū₁,"   • to stand erect, 
   • protrude, 
   • emerge,
   • hold upright (Nak. 79); 
   • to wield with vigor, as paddles.   "
ʻōkū₂,"thunderstruck, taken aback, horrified, agitated. "
ʻōkū₃,"young stage of kūmū₁ [goatfish], smaller than the ʻāhuluhulu stage. "
ʻōkū₄,live bird used as decoy; to decoy. 
ʻōkuʻekuʻe₁,knuckles. 
ʻōkuhe,"a fresh-water ʻoʻopu (Eleotris sandwicensis), a fish. Called ʻoau on Oʻahu and Maui. "
ʻōkuhekuhe,"young ʻōkuhe, after the hinana stage. "
ʻōkuhe melemele,ʻōkuhe with yellow tinge. 
ʻōkūkū₁,"redup. of:
    • ʻōkū₁ to stand erect, 
     • protrude, 
     • emerge,
     • hold upright... 
     • to wield with vigor, as paddles...;
   • ʻōkū₂ thunderstruck, taken aback, horrified, agitated...   "
ʻōkūkū₂, 
ʻōkukuli,"filled to satiety, as with fat or sweet food; rich, fat. "
ʻokukupu, 
ʻokukuʻu, 
ʻōkulekule,"somewhat kukule, listless. "
ʻōkulikuli, 
ʻōkuma,"rough, coarse, as scarred or pitted skin; close together; dark and lowering, as clouds. "
ʻōkumakuma, 
ʻōkumu₁,pommel; canoe end-piece. 
ʻōkumu₂,"stump; stumpy, blunt, cut off short, coarse. "
ʻōkumukumu,"stumps here and there; uneven, as stubble. "
ʻōkunukunu,"to have a cough, to cough constantly. "
ʻokūʻokū,"to pitch, as a canoe tossed by waves; to rear and pitch, as a horse. "
ʻōkupe₁,"a method of digging holes with a stick, prodding the earth to one side, as for taro (Kep. 153); to dig thus. "
ʻōkupe₂,"   • to trip in walking, stumble, make a false step; 
   • to err in conduct, go astray morally    "
ʻōkupe₃,a bivalve (Spondylus tenebrosus). 
ʻōkupekupe, 
ʻōkupu,"to sprout, as seeds; to send out shoots, as ti plants; to come forth, as clouds; sprouting, stubbles. "
ʻōkupukupu₁, 
ʻōkupukupu₂,"any fern growing on a single stem, as the sword fern (Nephrolepis exaltata). "
ʻōkupukupu lauʻiʻi,"a fern (Doodia kunthiana) much like Nephrolepsis exaltata, ʻōkupukupu, but hairy. "
ʻōkuʻu₁,"   • to squat on the haunches, crouch, sit hunched up: 
   • to perch, as a bird; 
   • to settle, as mist. "
ʻōkuʻu₂,"disease at time of Kamehameha I, perhaps cholera, and perhaps so called because it was dysenteric, and people were squatting (ʻōkuʻu) much at stool. "
ʻōkuʻu₃,to swing in aku (fish) on a line so they fall from the lure directly into the canoe. 
ʻōkuʻu₄,a method of catching birds by gumming artificial lehua blossoms made of leʻie to a tree. 
ʻōkuʻu lepo heheʻe,"lit., running excrement ʻōkuʻu. "
ola₂, 
ʻolā,gurgling; to gurgle. 
ōlaʻa,a weedy raspberry (Rubus rosaefolius) native to southeastern Asia. 
olaʻaloa,a variety of hard taro. 
ʻōlāʻau,"to strike with sticks, as beaters driving fish. "
ʻōlae,"small cape, promontory. "
ʻōlaelae₁,"a number of small capes, promontories. "
ʻōlaelae₂,"bitter, acrid; a bitter gourd (rare). "
ola honua,"earthly life, life on earth; to live. "
ola hou,"to revive, recover, restore to health, resuscitate, save a life; resurrected; resurrection. "
olaʻi,Bible spelling for ola + ai. 
ōlaʻi₁,"earthquake, tremor. "
ōlaʻi₂,"light porous stone or pumice, as used for polishing canoes or for scraping off hair of pig or dog to be roasted. "
ʻōlala₁,"lean, thin; stunted, as plants. "
ʻōlala₂,"same as lala₂, 
   • to warm, as over a fire, to warm oneself by a fire; 
   • to bask in the sun; 
   • to cook over a fire...; 
   • to wilt, as pandanus leaves over a fire for plaiting.    "
ʻolalahina,"frail, delicate. "
ʻolalala, 
ʻolalau,"somewhat lalau; wrong, incorrect; mistakenly. "
ʻōlali₁,"to glide smoothly along, as a ship on the sea or as a fish slipping through one's hand. "
ʻōlali₂,"bright, shiny, glistening; brightness. "
ʻōlali₃,skilled person. 
ʻōlali₄,"young stage of hou, a fish. Oʻahu. "
ʻōlalilali, 
ola loa,long life; completely cured or recovered. 
ola mau,immortal; to live long. 
ʻōlanalana,nauseating; seasick; nausea. 
ʻōlani₁,"to toast over a fire, broil, warm in sunlight. "
ʻōlani₂, 
ʻōlaʻo,"   • to weed and work the soil, 
   • to hoe; 
   • to gather, as ʻopihi shells; 
   • to extract.   "
ʻolāʻolā, 
ʻōlaʻolaʻo,"to weed, dig, as with an ʻōʻō or spade. "
ʻolaʻolapa, 
ʻōlapa₁,"   • to flash, as lightning; 
   • to blaze suddenly, flare up; 
   • to rumble uneasily, as a queasy stomach.    "
ʻōlapa₂,"several native species and varieties of forest trees (Cheirodendron), with opposite leaves, each leaf divided palmately into three to five (rarely six or seven) leaflets, and with flowers borne in umbels. Also ehu, kauila māhu (on Maui), lapalapa, māhu, ʻōlapalapa. "
ʻōlapa₃,"dancer, as contrasted with the chanter or hoʻopaʻa (memorizer); now, any dance accompanied by chanting, and drumming on a gourd drum. "
ʻōlapa₄,"name for the āholehole (fish) used as sacrifice for love sorcery (hana aloha), or for sorcery that sends a bad spirit to plague another (hoʻounauna), probably so called because of the desired rapidity of the spirit's actions. "
ʻōlapa₅, 
ʻōlapalapa₁, 
ʻōlapalapa₂, 
ʻōlapalapa₃,"full of ravines, projections, cornices, ridges. "
ola pānaʻi,"redeemed, ransomed, saved; to redeem. "
ʻōlapu, 
ʻŌlauniu,"name of a wind (For. 5:93) on Hawaiʻi (Nak. 55) and at Kapālama, Honolulu (Nak. 57). fig., promiscuous. lit., coconut-leaf piercing. "
ole₁,"eyetooth, fang. "
ole₂,"same as hole₂
   • to squirm, twist, turn, fidget; 
   • to caress passionately... "
ʻole₂,"for nights of the moon beginning with ʻOle see also (Malo 31, 32, 35). 
     ʻOle Kū Kahi, Olekūkahi  n. 7th and 21st nights of the month...
     ʻOle Kū Lua  n. 8th and 22nd nights of the month...
     ʻOle Kū Kolu  n. 9th night of the month...
     ʻOle Kū Pau  n. 10th night of the month...
Collectively these nights were called nā ʻOle; they were considered unlucky for fishing, planting, or beginning any important activity because ʻole also means nothing. "
ʻolē₁,"   • conch shell (Charonia tritonis); 
   • trumpet; 
   • crochet pattern with a design suggestive of a trumpet.    "
ʻolē₂,to talk indistinctly or garrulously. 
ʻolē₃,tapa beater. 
ʻoleana, 
ʻōleha,"dazzled, bleary-eyed, as one ill or drunk; dazzling. "
ʻolēhala,"cheerful singing, as of birds in treetops. "
ʻōlehaleha, 
ʻOlekona,Oregon. 
ʻOle Kū Kahi,seventh and twenty-first nights of the month. 
ʻOle Kū Kolu,ninth night of the month. 
ʻOle Kū Lua,eighth and twenty-second nights of the month. 
ʻOle Kū Pau,tenth night of the month. 
ʻolelehu,"drowsy, sleepy. "
ʻolelepa, 
ʻolelepā, 
ʻole loa,"not at all, void, not in the least, none whatsoever; of no value, worthless. "
ʻōlelo ʻaelike,"resolution, joint resolution. "
ʻōlelo aʻo,"   • counsel, to counsel,
   • advice, to advise, 
   • precept, 
   • instruction; "
ʻōlelo ʻē,"foreign language, incomprehensible lingo; mention of a matter other than the subject under discussion; jargon (EH) "
ʻōlelo haʻi mua,"foreword, preface. lit., word told first. "
ʻōlelo hewa,"mistaken word, slip of the tongue. "
ʻōlelo hoʻāhewa,"accusation; to accuse, charge. "
ʻōlelo hōʻeuʻeu,"encouraging word, slogan. "
ʻōlelo hōʻike,"affidavit; testimony, as of a witness; evidence. "
ʻōlelo hōʻino,"curse, defamation; to curse, revile. "
ʻōlelo hoʻohālikelike,"comparison, simile. "
ʻōlelo hoʻohiki,"oath, vow, promise, pledge. "
ʻōlelo hoʻoholo,"verdict (as of a jury), judgment, decision, resolution, conclusion. see saying, hehikū (to break rules or taboos...). "
ʻōlelo hoʻokō,judgment. 
ʻōlelo hoʻolaha,"advertisement, ad, notice. "
ʻōlelo hoʻomaikaʻi,acknowledgment. 
ʻōlelo hoʻomākeʻaka,"joke, witticism. "
ʻōlelo hoʻomanaʻo,"reminder, cue. "
ʻōlelo hoʻonalonalo,figurative language; obscure speech with puns and poetic references; to speak thus. 
ʻōlelo hoʻonanenane,"figurative speech, riddle. "
ʻōlelo hoʻopaʻa,stipulation. 
ʻōlelo hoʻopiʻi,accusation. 
ʻōlelo hoʻopuka,comment. 
ʻōlelo hoʻoweliweli,threat; terrifying talk; to threaten. 
ʻōlelo hou,"to speak again, repeat. "
ʻōlelo huna,"secret language, speech with hidden meaning. "
ʻōlelo kaki,"to speak in irritation, sharply, curtly; to snap. "
ʻōlelo kauoha,"decree, order, commandment; to order, decree. "
ʻōlelo kēnā,mandate. 
ʻōlelokīkē,"dialogue, repartee, conversation; to engage in such. "
ʻōlelokīkēkē, 
ʻōlelo kūkā,"consultation, discussion; to discuss, consult, deliberate. "
ʻōlelo kūkae manu,"a play language originated by Hawaiian guano (kūkae manu) diggers in the South Pacific to keep their bosses from understanding; this speech has substitution of forms as well as transpositions.  
E hele mai kāua maʻaneʻi (let us come here)  might be rendered: i hile mia kua mu ʻenuʻe. "
ʻōlelo kumu,"term once used (and rarely) for a ""language"" containing words known only to a few, perhaps priests; not the same as kake; basic or original language. "
ʻōlelo kūpaʻa,"ordinance, legal decree, judgment, statute. "
ʻōlelo lalau, 
ʻōlelo maikaʻi,"good word, gospel. "
ʻōlelo makuahine,mother tongue. (This name is often used for the Hawaiian language.) 
ʻōlelo mua,"introduction, preface. "
ʻōlelo nane,"riddle, parable, allegory. "
ʻōlelo noʻonoʻo mua,first estimate. 
ʻōlelo paʻa,"precept, command, vow, promise, oath, statute. "
ʻōlelo pāʻani,"joke, jest, banter. "
ʻōlelo paʻi ʻai,"pidgin English, pidgin Hawaiian. lit., hard-taro speech. "
ʻōlelo paipai,"word of encouragement, exhortation, commandment. "
ʻōlelo pākuʻi,"appendix, supplement, added words, postscript, addendum. "
ʻōlelo pale,"defense, as in a trial; to defend. "
ʻōlelo uea ʻole,wireless message. 
ʻōlemu, 
ʻōlemu hue,base section of a gourd. 
ʻōlemukaʻa,"vagabond, rover. lit., rolling backsides. "
ʻōlena₁,"the turmeric (Curcuma domestica, also incorrectly called C. longa), a kind of ginger distributed from India into Polynesia, widely used as a spice and dye in foods, to color cloth and tapa, and medicinally for earache and lung trouble. A cluster of large leaves rises from thick, yellow underground stems, which are the useful part of the plant, either raw or cooked. "
ʻōlena₂, 
ʻōlena₃,ash tree. 
ʻōlena₄,"a small mountain tree on Kauaʻi (Coprosma waimeae), with yellow wood. "
ʻōlenalena₁,"yellow, sallow. "
ʻōlenalena₂,dye made of ʻōlena plant. 
oleole,rack or branched post on which wooden bowls or netted calabashes were hung; a coat tree. 
-ʻoleʻole, 
ʻolēʻolē₁,a small conch shell. 
ʻolēʻolē₂,to rant. 
ʻolēʻolē₃,"wide-mouthed grin, as of an idol; to grin thus. "
ʻolēʻolēhala, 
oleole kau ipu, 
ōleoleo,"to quarrel or speak noisily, raise a din. "
ʻōleʻoleʻo,"stormy, tempestuous, agitated. "
ʻOle Pau, 
ʻōlepe₁,"   • to turn, as on hinges; 
   • to shut and open, as Venetian blinds;
   • to peel off, as shingles in a gale; 
   • to upset, overturn, tear asunder.   "
ʻōlepe₂,"any kind of bivalve, as a mussel or oyster. clam (KAN).
     ʻōlepe kupe bivalve, possibly Codakia punctata and Ctena bella.
     ʻōlepe makaloa a kind of ʻōlepe₂, (Martesia striata) also makaloa.
     ʻōlepe nui, any large bivalve, Tridacna.
     ʻōlepe pāpaua a kind of ʻōlepe₂, (Barbatia (Acar) divaricata)...
     ʻōlepe waha nui a rock borer (Gastrochaena cuneiformis)... "
ʻōlepe₃,"garden balsam or impatiens (Impatiens balsamina), from southeastern Africa, an annual to about 90 cm tall, grown ornamentally for its pink, red, yellow, white, or spotted flowers. "
ʻōlepe kupe,"bivalve, possibly Codakia punctata and Ctena bella. "
ʻōlepelepe,"shutters, Venetian blinds, lattice work (Mele 2.9) ; diaphragm between chest and stomach (rare). "
ʻōlepe makaloa, 
ʻōlepe nui,"any large bivalve, Tridacna. "
ʻōlepe pāpaua, 
ʻōlepe pū,to overturn completely. 
ʻōlepe waha nui,"a rock borer (Gastrochaena cuneiformis). lit., big-mouthed ʻōlepe. "
ʻōlepo, 
ʻōlepolepo,"somewhat dirty, murky, sullied; to sully. fig., to offend. "
ʻolepū,to discard. 
ʻōlewa,"   • swinging. 
   • fig., fickle, changeable, not firmly established or fixed, variable. "
ʻole wale,"Not at all! Of no interest, value, use. "
ʻōlewalewa,"redup. of ʻōlewa, 
   • swinging. 
   • fig., fickle, changeable, not firmly established or fixed, variable.
    fig., hungry. "
oli,"chant that was not danced to, especially with prolonged phrases chanted in one breath, often with a trill (ʻiʻi) at the end of each phrase; to chant thus. "
ʻoli,"joy, happiness, pleasure; happy, joyful, gay. "
ʻoliana₁,"a common ornamental shrub (Nerium oleander and var. indicum), native from south Europe to Japan. Its flowers may be single or double, white, pink, or red. "
ʻoliana₂,"a variety of sugar cane, like lahaina in type of growth and color, but the pith dark-brown and the leaf sheath covered with red-brown hairs. "
ʻoliana₃,Let me see! Show me! 
ʻoliapaha, 
ʻōlihaliha,"somewhat liliha [nauseated, revolted, heartsick...] "
ʻoliko,"shiny, sparkling, bright. "
ʻōliko₁,to bud. 
ʻōliko₂,"a small tree, possibly Rapanea helleri, Myrsine hosakae (syn. M. angustifolia, Suttonia angustifolia), a kind of kōlea. "
ʻōlikoliko, 
ʻōlilelile,somewhat lile. 
ʻolili,"shiny, sparkling, shimmering, as moonlight. "
ʻōlili,"withered, stunted, poor, as fruit. cf. more common mālili. "
ʻoliliko₁,shimmering. 
ʻō lima,"arm vaccination. lit., arm piercing. "
ʻolina,"to make merry; joyous, rejoicing, merrymaking. "
olinakio,ordination. 
ʻōlino₁,"bright, brilliant, dazzling, gleaming; brightness, glare. "
ʻōlino₂,"parched, dry. "
ʻōlinolino₁,"shining, radiant. "
ʻōlinolino₂, 
olioli,"redup. of oli, chant that was not danced to, especially with prolonged phrases...; chanter. "
ʻoliʻoli,"delight, enjoyment. "
ʻōliʻoliʻo,"somewhat liʻoliʻo, dazzling. "
ʻOliona,Orion. 
ʻōliʻuliʻu₁,"blurred, indistinct. "
ʻōliʻuliʻu₂,brackish. 
ʻoliwa₁,"the olive tree (Olea europaea), from the Mediterranean region, a small tree grown only, ornamentally in Hawaiʻi, where it rarely flowers or yields fruit. Called ʻoliwa haole on Niʻihau. "
ʻoliwa₂, 
ʻoliwa kū kahakai,"air plant (Kalanchoe pinnata, also Bryophyllum pinnatum), a succulent growing wild and cultivated in Hawaiʻi and other tropical countries. New plants develop along the edges of the thick scalloped leaves. The tubular green and red flowers hang lantern-like. The Hawaiian name was given because the first plants seen in Hawaiʻi grew near the beach.  lit., beach-standing olive. "
olo₁,"   • to rub back and forth, 
   • grate, 
   • saw; a saw (also pahi olo).   "
olo₂,"to resound, sound long. "
olo₃,"long surfboard, as of wiliwili wood. "
olo₄,"hill (rare now except in place names, as Olokuʻi, tall hill; Olomana, divided hill; Olowalu, many hills). "
olo₅,shelf. 
olo₆,"large foreign glass beads, said to be so called from a Hawaiian name given to the British ship, Queen Charlotte Mary, which came in 1786 under the command of Captain [George] Dixon [1748-1795]; this ship is said to have introduced the beads. "
ʻolo-, 
ʻolo₁,"long gourd container used as a receptacle, as for kava or water; long body of a gourd used as a hula drum cf. heke, ipu. "
ʻolo₂,"   • double chin, sagging skin, jowls, 
   • calf of leg; 
   • scrotum; 
   • wattles of a turkey; 
   • fat part under the jaws of an eel; 
   • pendant; 
   • pendulous; 
   • to roll with fat; 
   • to sag, hang down.    "
oloʻa,reported as a bird name (no data). 
ʻoloa₁, 
ʻoloa₂,"fine white tapa, said to have been placed over an image during prayers (Laie 467); perhaps a verb to make ʻoloa tapa. "
ʻoloa₃,gift to a child at birth. 
ʻoloʻā,"splashing on rocks, as a rough sea. "
olo ʻawa,an address to a deity accompanied by an oblation of kava. 
ʻolo ʻawa,coconut shell cut lengthwise as a cup for kava. 
oloʻewa,shelf. 
olohaka,shelf. 
ʻolohaka,"   • empty,  emptiness, 
   • sunken, 
   • hollow, as eyes or cheeks;
   • deficiency, deficit. "
olohana, 
ʻolohani,"to strike, quit work; mutiny, riot. "
olohao,"cannon. lit., iron noise. "
ʻōlohe₁,"   • bare, naked, barren; 
   • hairless, as a dog; 
   • bald; 
   • destitute, needy. "
ʻōlohe₂,"   • skilled, especially in lua fighting, skilled fighter.
   so called perhaps because the beards of lua fighters were plucked and their bodies greased;  bones of hairless men were desired for fish hooks because such men were thought stronger; also said of hula experts;     "
ʻōlohe₃,pale. 
ʻōlohe₄,"sick, as after childbirth. "
ʻōlohe₅,"   • ghost; 
   • image, as in clouds. "
ʻōlohe₆,"a small salt-water ʻoʻopu, a fish, found with the ʻōhune. "
ʻōlohelohe,"redup. of ʻōlohe₁
   • bare, 
   • naked, 
   • barren; 
   • hairless, as a dog; 
   • bald;
   • destitute, needy.   "
ʻolohewa,"demented, deranged; delirious, incoherent. "
olohia, 
ʻōlohilohi, 
olohio,"to move quickly, as a gust of wind. "
olohiʻo,"to cultivate, weed. "
ʻolohū, 
ʻolohua, 
oloi,"to rub, grate, run aground, run over (olo₁ + -i, transitivizer). "
ʻoloʻio,to move swiftly. 
ʻolokā,"to shake or quiver, as flesh of a fat person. "
ʻolokaʻa₁,"   • to roll along, as a wheel; 
   • to remove; 
   • to transfer, as a debt.    "
ʻolokaʻa₂,stake to which a live rat was tied as a decoy in an owl-catching trap. 
olo kani,to sound. 
olokē,"clamorous, incoherent, excited in speech or sound. "
ʻolokeʻa₁,"   • cross, gibbet, gallows (Eset. 5.14) , 
   • scaffolding; 
   • ladder made of sticks tied horizontally; 
   • crisscross, crossed; 
   • bones of a corpse buried with knees tied to breast. 
   • fig., contrary, antagonistic.   "
olokele₁,Kauaʻi. 
olokele₂,"a kind of tapa associated with Nāpali, Kauaʻi. "
ʻolokele,"bog, swamp. "
olokele hōkiʻi,"immature olokele, bird. "
olokele pōpolo,"immature olokele, bird. "
olokīkī,"to slide, skid; to saw, rub fast. "
ʻolokū, 
ʻololā₁,broad. 
ʻololā₂,a small flying fish resembling the puhikiʻi. 
ʻololaiki,all right. 
ololani₁,"acclaimed, as a chief. "
ololani₂,poetic for coconut tree. 
ʻololī,narrow. 
ʻōloliloli,"somewhat soggy, as taro. "
ʻololū₁,"dejected, downcast. "
ʻOlolū₂,Name of a star (no data). 
ʻolomana,old man. 
olomaʻo,"the endangered Lānaʻi thrush (Phaeornis obscura lanaiensis), and Molokaʻi thrush (Phaeornis obscura rutha). "
olomea₁,"a native shrub or small tree (Perrottetia sandwicensis) with ovate, red-veined leaves, and many tiny greenish flowers and red fruits borne in panicles. The wood is hard and formerly was used with soft hau wood to produce fire by rubbing. It is one of the plant forms of the pig god Kamapuaʻa. also waimea; "
olomea₂,"brown, with darker stripes or spots, of pig or dog. "
olomea₃,"kind of wauke tapa dyed with ʻōhiʻa bark, hōlei, and coconut water. "
olomehani,"dumping ground, refuse or rubbish dump. "
ʻolomeka,old maid. 
ʻolomene,old man. 
olomio,"tapering, narrowing; to start to form a crust, as a wound; to go quickly, vanish. "
ʻolomua,foreskin. (changed to ʻōmaka in later editions of the Bible). 
olomuʻo,uncircumcised; prepuce or foreskin cut off in circumcision; bud. 
olonā,"a native shrub (Touchardia latifolia), with large, ovate, fine-toothed leaves, related to the māmaki. Formerly the bark was valued highly as the source of a strong, durable fiber for fishing nets, for nets (kōkō) to carry containers, and as a base for ti-leaf raincoats and feather capes. (Neal 319–20, Kam. 76:44–7, 52–5) 
   • cord of olonā fiber;
   • flax (Sol. 31.13) , hemp, linen; 
   • muscle ligament. sinew (Kol. 2.19) .   "
oloolo₁,"to saw back and forth; corrugated; roiled, as streams. "
oloolo₂,"long and narrow, as a head; elongated, oblong, oval. "
oloolo₃,a variety of watermelon. 
oloolo₄,"rough, as the surface of a washboard. "
ʻoloʻolo₁,"to hang too low, as a petticoat; to hang loose and long; to hang (as coconuts). "
ʻoloʻolo₂,"to overflow, flood, as streams. "
ʻoloʻolo₃,"to loiter, lag. "
oloolo hio,type of weeded taro patch. 
ʻoloʻolokā, 
ʻoloʻolokaʻa, 
oloolokē, 
oloolonā,"redup. of olonā
   • fibrous, tough; 
   • cords, 
   • muscle, 
   • ligaments. "
ʻoloʻolōna,"sagging under a weight, overladen, loaded down; a burden. "
ʻoloʻolo wāwae,calf of the leg. 
ʻolopā, 
ʻolopala,old fellow. 
ʻOlopana₁,"an Oahu chief, and uncle of Kamapuaʻa. When Kama stole his chickens, ʻOlopana repeatedly sent hundreds of men to catch him; but each time Kama's grandmother, Kamaunuaniho, sang Kama's name songs, and Kama's teeth cut down and killed the men carrying him on a stretcher. (FS 196-205). "
ʻOlopana₂,"a famous chief at Waipiʻo, Hawaii, the brother of Haʻinakolo and father of Luʻukia and Kāwelu. "
olo papa,to saw wood. 
olopē,"falling; ruin, overthrow, demolition, humiliation; to overthrow, fall. "
ʻōlopelope,larvae of dragonfly. 
ʻolopī, 
olo pihe,"to cry out, shout, wail. "
ʻolopū₁,"inflated, billowed out, as a sail in the wind; puffed out, as cheeks of one eating; blistered, as hands from work; mouthful of food or water. "
ʻolopū₂,a native shrubby violet (Viola chamissoniana). 
ʻolopū₃,adze for cutting ʻōhiʻa logs for images. 
olopua₁,"a large native tree (Osmanthus sandwicensis), to 19 m high, in the olive family. It bears narrow or oblong leaves, yellowish flowers, and blue 1.3 cm- long fruits. The hard wood, dark-brown with black streaks, was used for spears, adze handles, and digging sticks. cf. nonohina. "
olopua₂,"lovelorn, heartbroken. "
oloʻū,"to strike, as the forehead. "
ʻolouha,"overstuffed with food, an insulting epithet. lit., sagging intestine. "
olowā,space. 
ʻolowaʻa, 
ʻolo wae,calf of the leg. also ʻoloʻolo wāwae. 
olowahia,pāwehe mat pattern listed by (Brigham). 
ʻolo wai,gourd water container. 
olowalu₁,"   • joint action; 
   • simultaneous sounds; 
   • din of many voices, sounds, as of horns or roosters; 
   • to rush or attack in concert; 
   • a group, as of hills (olowalu puʻu).   "
olowalu₂,"storehouse, as for chief's property. "
olowī, 
ʻolu,"   • cool, refreshing; coolness; 
   • soft, supple, flexible, pliant, elastic, slack, springy; softness, slackness; 
   • pleasant, comfortable, at ease; comfort, amenities; 
   • polite, kind, courteous;  grace, courtesy, kindness.    "
ʻōlū,"soft-shelled, as of a crab (pāpaʻi) or lobster (ula). "
olua, 
ʻōlūau, 
ʻoluea,"to slacken, ease. fig., mental relaxation. "
ʻOluʻekeloahoʻokaʻamoena,"guardian of the sleeping place of the high chief or chiefess (said to be an expert lua fighter and of the same sex as the chief or chiefess). lit., ʻEkeloa breeze coolness that rolls mats. "
ʻōluheluhe,"sagging, drooping, as a potbelly; limp; flabby; soft, as a crab that has shed its shell. "
ʻōlulelule, 
ʻōlulelulea, 
ʻōlulo₁,"   • castaway; 
   • shipwrecked; 
   • storm-beset at sea.    "
ʻōlulo₂, 
ʻōlulo₃,"gourd container, as for bamboo stamps used for marking tapas. "
ʻōlulo₄,"statue, figure, idol. "
ʻōlulolulo, 
ʻōlulu,a lobelia (Brighamia insignis). also pū aupaka. cf. ālula and (Neal 816). 
ʻōlūlū,to shake (lūlū) with fat; one who so jiggles. 
ʻOlumepia,Olympia. 
ʻōlūpalaha,cowrie shell used as an octopus lure. 
oluwalu,name reported for a minor illness (no data). 
oma₁,"to strike with the hands and arms, as in swimming. "
oma₂,high officer of the chief. 
oma₃, 
ʻoma₂,"to open the mouth, as though to speak, or as a child about to nurse at the breast; to ask indirectly. "
ʻoma₃,female mahimahi fish; but cf. oma₃. 
ʻoma₄, 
ʻoma₅,small adze. 
ʻoma₆,space between opposing armies where sacrifices were offered; preparations for war; first men killed in war. 
ʻōmaʻi,"sickly, weak, ailing, not well. "
ʻōmaka₁,"   • budding; 
   • beginning; 
   • source, as of a stream; 
   • to leaf out or bud; 
   • to nip off; 
   • rising of the sun.    "
ʻōmaka₂,nipple. 
ʻōmaka₃,foreskin. 
ʻōmaka₄,"Hilo name for the makiawa, herring. "
ʻōmaka₅,belted wrasse fish (Stethojulis balteata). 
ʻomakaha, 
ʻōmakamaka,to leaf out or bud afresh. 
ʻŌmakaokaʻīlio,"a lua fighting stroke. lit., the foreskin of the dog. "
ʻōmaka wai,"stream source, headlands. "
ʻōmaka waiū₁,first liquid in the breast before the milk begins to flow. 
ʻōmale, 
ʻōmalemale, 
ʻōmali,"weak, infirm, puny, shriveling, wilting, as of unripe fruit; weakling. "
ʻomaliō,"broad, extended, extensive, flat, as land; a wide athletic field of ancient times. "
ʻōmalu,"cloudy, overcast, shady. "
ʻōmalumalu, 
ʻōmamaka, 
ʻomamale, 
ʻomamalu, 
ʻōmaʻo₁,"green, as plants. "
ʻōmaʻo₂,"a bundle wrapped in green leaves, as of ti, for carrying food. "
ʻōmaʻo₃,Hawaiʻi thrush (Phaeornis obscurus obscurus). 
ʻōmaʻo₄,greenish tapa. 
ʻōmaʻo₅, 
ʻŌmaʻo₆,star name (no data). 
ʻomaʻoma, 
ʻōmaʻomaʻo₂,name of a seaweed. 
ʻōmaʻomaʻo mae wale,"name of a seaweed. lit., seaweed that wilts easily. "
ʻoma Pukikī,"dome-shaped cement or stone outdoor oven, as used by the Portuguese (Pukikī) for bread. "
ʻōmau₁,"   • to pin on, 
   • fasten (same as ʻōmou); 
   • to gird or bind on, as a sword (Lunk. 3.16) ;
   • to tuck in, as a sarong; 
   • to sew or baste together; 
   • a doubling over, tuck.    "
ʻōmau₂,"   • loom (RSV),
   • pining sickness (KJV). "
ʻōmau₃,a barbless fishhook. 
ʻōmau₄,a brief love affair; to have such an affair. 
ʻōmea₁,reddish; murky. 
ʻōmea₂,"beloved, respected person. "
ʻōmea₃,to sun. 
ʻōmea₄, 
ʻōmealani,variety of sweet potato. 
ʻōmeamea, 
ʻomeka,omega. 
ʻomela,omer. 
ʻōmeʻo₁,"   • to bud, 
   • to unfold, as a blossom; 
   • to come into view; 
   • to sprout.   "
ʻōmeʻo₂, 
ʻōmeʻomeʻo,"redup. of ʻōmeʻo, 
   • to bud, 
   • to unfold, as a blossom; 
   • to come into view; 
   • to sprout... "
ʻomī,"to wither, droop; to burn weakly, as a candle. "
ʻōmiko,"saline, salty, as soil near the sea. "
